"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","39/329","275/17913",1.77368339214041e-23,5.04435556724733e-20,4.48461842939081e-20,"TOP2A/CENPF/HJURP/CDCA8/CDC20/DLGAP5/BIRC5/CDCA5/SRPK1/PRC1/TTK/AURKB/NCAPG/NEK2/KIF4A/CDT1/ECT2/KIF2C/KIFC1/KIF14/CHMP4B/RMI2/CCNB1/ZWINT/BUB1/P3H4/FANCD2/FEN1/TACC3/CENPX/MKI67/XRCC3/NDC80/PLK1/NCAPD3/CENPE/RACGAP1/MAD2L1/CDCA2",39
"GO:0000280","GO:0000280","nuclear division","43/329","357/17913",6.33056525466195e-23,8.47555686688577e-20,7.53508312764069e-20,"TOP2A/CENPF/AURKA/CDCA8/ASPM/CDC20/TPX2/DLGAP5/CDCA5/PRC1/TTK/AURKB/NCAPG/NEK2/KIF4A/UBE2C/CDT1/KIF11/KIF2C/ANLN/PKMYT1/KNTC1/KIFC1/KIF14/CHMP4B/CCNB1/ZWINT/P3H4/CDC25C/SPIRE2/FANCD2/CHEK1/TACC3/CENPX/MKI67/XRCC3/NDC80/PLK1/NCAPD3/TDRKH/CENPE/RACGAP1/MAD2L1",43
"GO:0140014","GO:0140014","mitotic nuclear division","36/329","237/17913",8.94046083004828e-23,8.47555686688577e-20,7.53508312764069e-20,"CENPF/AURKA/CDCA8/CDC20/TPX2/DLGAP5/CDCA5/PRC1/TTK/AURKB/NCAPG/NEK2/KIF4A/UBE2C/CDT1/KIF11/KIF2C/ANLN/PKMYT1/KNTC1/KIFC1/KIF14/CHMP4B/CCNB1/ZWINT/CDC25C/CHEK1/TACC3/MKI67/XRCC3/NDC80/PLK1/NCAPD3/CENPE/RACGAP1/MAD2L1",36
"GO:0048285","GO:0048285","organelle fission","44/329","395/17913",4.5904598676366e-22,3.26381696588962e-19,2.90165384264819e-19,"TOP2A/CENPF/AURKA/CDCA8/ASPM/CDC20/TPX2/DLGAP5/CDCA5/PRC1/TTK/AURKB/NCAPG/NEK2/KIF4A/UBE2C/CDT1/KIF11/KIF2C/ANLN/PKMYT1/KNTC1/KIFC1/KIF14/CHMP4B/CCNB1/ZWINT/P3H4/CDC25C/SPIRE2/FANCD2/CHEK1/TACC3/CENPX/MKI67/XRCC3/MTFP1/NDC80/PLK1/NCAPD3/TDRKH/CENPE/RACGAP1/MAD2L1",44
"GO:0000819","GO:0000819","sister chromatid segregation","29/329","157/17913",5.4988127415621e-21,3.12772468740052e-18,2.78066278004888e-18,"CENPF/CDCA8/CDC20/DLGAP5/CDCA5/PRC1/TTK/AURKB/NCAPG/NEK2/KIF4A/CDT1/KIF2C/KIFC1/KIF14/CHMP4B/RMI2/CCNB1/ZWINT/BUB1/FEN1/TACC3/XRCC3/NDC80/PLK1/NCAPD3/CENPE/RACGAP1/MAD2L1",29
"GO:0098813","GO:0098813","nuclear chromosome segregation","33/329","220/17913",8.86471391709975e-21,4.20187439670528e-18,3.73562154892519e-18,"CENPF/CDCA8/CDC20/DLGAP5/CDCA5/PRC1/TTK/AURKB/NCAPG/NEK2/KIF4A/CDT1/ECT2/KIF2C/KIFC1/KIF14/CHMP4B/RMI2/CCNB1/ZWINT/BUB1/P3H4/FANCD2/FEN1/TACC3/CENPX/XRCC3/NDC80/PLK1/NCAPD3/CENPE/RACGAP1/MAD2L1",33
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","26/329","132/17913",1.14114433433098e-19,4.63630640976758e-17,4.12184765573385e-17,"CENPF/CDCA8/CDC20/DLGAP5/CDCA5/PRC1/TTK/AURKB/NCAPG/NEK2/KIF4A/CDT1/KIF2C/KIFC1/KIF14/CHMP4B/CCNB1/ZWINT/TACC3/XRCC3/NDC80/PLK1/NCAPD3/CENPE/RACGAP1/MAD2L1",26
"GO:0051983","GO:0051983","regulation of chromosome segregation","22/329","93/17913",1.18726603071057e-18,4.22073073917609e-16,3.75238553390368e-16,"CENPF/CDC20/DLGAP5/CDCA5/TTK/AURKB/NEK2/CDT1/ECT2/KIF2C/RMI2/CCNB1/BUB1/FEN1/TACC3/MKI67/XRCC3/NDC80/PLK1/CENPE/RACGAP1/MAD2L1",22
"GO:0006260","GO:0006260","DNA replication","32/329","260/17913",1.45946725165116e-17,4.61191651521766e-15,4.10016413855683e-15,"RECQL4/PCLAF/TIMELESS/MCM2/MCM4/CDT1/EXO1/MCM10/CDC45/CHAF1B/GINS2/RMI2/CCNA2/MCM6/ORC6/CHTF18/FEN1/CHEK1/RRM2/BLM/TONSL/CENPX/BARD1/POLE2/MCM8/ORC1/CCNE2/DNA2/DONSON/CCNE1/RNASEH2A/TICRR",32
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","25/329","150/17913",3.95570892656032e-17,1.12500361871375e-14,1.00016977279978e-14,"CENPF/AURKA/CDC20/DLGAP5/CDCA5/TTK/AURKB/NEK2/UBE2C/CDT1/KIF11/ANLN/PKMYT1/KNTC1/CHMP4B/CCNB1/CDC25C/CHEK1/TACC3/MKI67/XRCC3/NDC80/PLK1/CENPE/MAD2L1",25
