"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","GO:0098687","chromosomal region","41/348","337/18678",8.77360454422962e-22,3.40415856316109e-19,2.97379017183362e-19,"RECQL4/CENPF/PARP1/HJURP/CDCA8/MCM2/BIRC5/CDCA5/MCM4/SPC24/TTK/AURKB/NCAPG/NEK2/CDT1/EZH2/KIF2C/KNTC1/CCNB1/ZWINT/CENPM/CENPL/BUB1/MCM6/NABP2/FEN1/HELLS/CHEK1/BLM/CENPX/CENPA/XRCC3/NDC80/ORC1/PLK1/DNA2/OIP5/NCAPD3/CENPE/NAT10/MAD2L1",41
"GO:0000793","GO:0000793","condensed chromosome","27/348","199/18678",6.786521455785e-16,1.28824226581533e-13,1.12537712857444e-13,"TOP2A/CENPF/HJURP/BIRC5/CDCA5/SPC24/AURKB/NCAPG/NEK2/CDT1/KIF2C/KNTC1/CCNB1/ZWINT/CENPM/BUB1/P3H4/CHEK1/BLM/CENPX/CENPA/MKI67/NDC80/PLK1/NCAPD3/CENPE/MAD2L1",27
"GO:0000775","GO:0000775","chromosome, centromeric region","26/348","185/18678",9.96063607589175e-16,1.28824226581533e-13,1.12537712857444e-13,"CENPF/HJURP/CDCA8/BIRC5/CDCA5/SPC24/TTK/AURKB/NCAPG/NEK2/CDT1/KIF2C/KNTC1/CCNB1/ZWINT/CENPM/CENPL/BUB1/HELLS/CENPX/CENPA/NDC80/PLK1/NCAPD3/CENPE/MAD2L1",26
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","20/348","110/18678",1.41359493775568e-14,1.37118708962301e-12,1.19783571041403e-12,"CENPF/HJURP/BIRC5/SPC24/AURKB/NCAPG/NEK2/CDT1/KIF2C/KNTC1/CCNB1/ZWINT/CENPM/BUB1/CENPX/CENPA/NDC80/PLK1/CENPE/MAD2L1",20
"GO:0000777","GO:0000777","condensed chromosome kinetochore","18/348","100/18678",3.62005917275733e-13,2.80916591805969e-11,2.45401906026918e-11,"CENPF/HJURP/BIRC5/SPC24/NEK2/CDT1/KIF2C/KNTC1/CCNB1/ZWINT/CENPM/BUB1/CENPX/CENPA/NDC80/PLK1/CENPE/MAD2L1",18
"GO:0000776","GO:0000776","kinetochore","20/348","131/18678",4.45592104581069e-13,2.88149560962425e-11,2.51720452061587e-11,"CENPF/HJURP/BIRC5/SPC24/TTK/AURKB/NEK2/CDT1/KIF2C/KNTC1/CCNB1/ZWINT/CENPM/BUB1/CENPX/CENPA/NDC80/PLK1/CENPE/MAD2L1",20
"GO:0005819","GO:0005819","spindle","28/348","326/18678",1.93741252855823e-11,1.07388008725799e-09,9.38115540143986e-10,"CENPF/AURKA/ASPM/CDC20/TPX2/DLGAP5/PRC1/TTK/AURKB/KIF15/NEK2/KIF20A/KIF4A/KIF11/ECT2/KNTC1/KIF14/CKAP2L/CCNB1/WDR62/POC1A/AUNIP/TACC3/PLK1/CENPE/JTB/RACGAP1/MAD2L1",28
"GO:0044454","GO:0044454","nuclear chromosome part","33/348","469/18678",6.37381113758376e-11,2.92476879295076e-09,2.55500692167701e-09,"PARP1/TIMELESS/MCM2/CDCA5/MCM4/AURKB/EZH2/CHAF1B/IPO4/ASF1B/MTA3/CCNB1/BUB1/P3H4/MCM6/CPSF6/NABP2/FEN1/BLM/TONSL/CENPA/XRCC3/POLE2/NDC80/ORC1/PLK1/EME1/CBX8/SETD1A/DNA2/SUZ12/NCAPD3/NAT10",33
"GO:0030496","GO:0030496","midbody","20/348","171/18678",6.78425750942186e-11,2.92476879295076e-09,2.55500692167701e-09,"CENPF/AURKA/CDCA8/ASPM/BIRC5/PRC1/AURKB/NEK2/KIF20A/KIF4A/ECT2/ANLN/KIF14/CEP55/CHMP4B/PLK1/CENPE/JTB/RACGAP1/NAT10",20
"GO:0000922","GO:0000922","spindle pole","18/348","152/18678",5.04013726499489e-10,1.95557325881802e-08,1.7083412624509e-08,"CENPF/AURKA/ASPM/CDC20/TPX2/DLGAP5/PRC1/NEK2/KIF11/KNTC1/CKAP2L/CCNB1/WDR62/POC1A/AUNIP/TACC3/PLK1/MAD2L1",18
"GO:0000794","GO:0000794","condensed nuclear chromosome","11/348","75/18678",1.35516757870181e-07,4.78004564123913e-06,4.17573167791373e-06,"AURKB/NEK2/CCNB1/BUB1/P3H4/CHEK1/BLM/CENPA/NDC80/PLK1/NCAPD3",11
"GO:0005813","GO:0005813","centrosome","27/348","473/18678",2.82432943726437e-07,9.13199851382145e-06,7.97749191929058e-06,"CENPF/PCLAF/CCNF/AURKA/ASPM/CDC20/STIL/DLGAP5/KIF15/NEK2/CCNB2/CDC45/CEP55/HMMR/CKAP2L/CCNB1/WDR62/POC1A/LRRC45/CHEK1/AUNIP/HYLS1/NDC80/PLK1/PLK4/JTB/DCAF12",27
"GO:0000780","GO:0000780","condensed nuclear chromosome, centromeric region","6/348","17/18678",4.16982338624413e-07,1.24453190297133e-05,1.08719281811386e-05,"AURKB/CCNB1/BUB1/CENPA/NDC80/PLK1",6
"GO:0042555","GO:0042555","MCM complex","5/348","11/18678",9.1924197474867e-07,2.54761347287489e-05,2.2255332020231e-05,"MCM2/MCM4/MCM6/TONSL/MCM8",5
"GO:0000781","GO:0000781","chromosome, telomeric region","14/348","156/18678",1.3697862164392e-06,3.54318034652273e-05,3.09523622240999e-05,"RECQL4/PARP1/MCM2/MCM4/EZH2/MCM6/NABP2/FEN1/CHEK1/BLM/XRCC3/ORC1/DNA2/NAT10",14
"GO:0000940","GO:0000940","condensed chromosome outer kinetochore","5/348","12/18678",1.55177966390736e-06,3.76306568497534e-05,3.2873227090669e-05,"CENPF/CCNB1/BUB1/NDC80/PLK1",5
"GO:0072686","GO:0072686","mitotic spindle","11/348","97/18678",1.91053378027529e-06,4.3605123926283e-05,3.80923763002255e-05,"AURKA/ASPM/TPX2/AURKB/KIF11/ECT2/CKAP2L/TACC3/CENPE/RACGAP1/MAD2L1",11
"GO:0000785","GO:0000785","chromatin","25/348","500/18678",8.28090461160572e-06,0.000178499499405723,0.000155932823680529,"CENPF/TIMELESS/MCM2/CDCA5/EZH2/CHAF1B/IPO4/ASF1B/MTA3/SALL4/CPSF6/HIST1H2BD/HELLS/CHEK1/CENPA/MORC2/PLK1/EME1/CBX8/SETD1A/SUZ12/OIP5/NCAPD3/PELP1/PARPBP",25
