"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","13/333","152/16969",9.59180906655297e-06,0.00254106649210903,0.00232362869369408,"RECQL4/TOP2A/MCM4/EXO1/POLQ/MCM6/FEN1/BLM/RAD54L/DKC1/XRCC3/SMUG1/DNA2",13
"GO:0008094","GO:0008094","DNA-dependent ATPase activity","9/333","72/16969",1.11206411033218e-05,0.00254106649210903,0.00232362869369408,"RECQL4/TOP2A/MCM4/POLQ/MCM6/CHTF18/BLM/XRCC3/DNA2",9
"GO:0042623","GO:0042623","ATPase activity, coupled","14/333","218/16969",0.0001072579164246,0.0143218610629612,0.0130963465207776,"RECQL4/TOP2A/MCM4/DDX56/KIF14/POLQ/MCM6/CHTF18/BLM/ABCB6/ABCC3/MYO7A/XRCC3/DNA2",14
"GO:0016887","GO:0016887","ATPase activity","16/333","280/16969",0.00013882783450496,0.0143218610629612,0.0130963465207776,"RECQL4/TOP2A/MCM4/DDX56/KIF14/POLQ/ATAD2/MCM6/CHTF18/BLM/ABCB6/ABCC3/MYO7A/XRCC3/MORC2/DNA2",16
"GO:0003682","GO:0003682","chromatin binding","21/333","437/16969",0.000156694322351874,0.0143218610629612,0.0130963465207776,"TOP2A/CENPF/UBE2T/PCLAF/CDCA5/CDT1/EZH2/EXO1/CHAF1B/POLQ/MTA3/PYGO2/TFAM/CENPA/SETDB1/MCM8/MORC2/ORC1/SUZ12/PELP1/TICRR",21
"GO:0004386","GO:0004386","helicase activity","10/333","128/16969",0.000216879825975112,0.016519013411771,0.0151054896337052,"RECQL4/MCM2/MCM4/DDX56/MCM6/HELLS/BLM/RAD54L/MCM8/DNA2",10
"GO:0070182","GO:0070182","DNA polymerase binding","4/333","17/16969",0.000283192154262078,0.01848840207111,0.0169063586830143,"NABP2/FANCD2/FANCI/NAT10",4
"GO:0004523","GO:0004523","RNA-DNA hybrid ribonuclease activity","3/333","10/16969",0.000811245325592109,0.0411932348661771,0.0376683502058558,"EXO1/FEN1/RNASEH2A",3
"GO:0097617","GO:0097617","annealing activity","3/333","10/16969",0.000811245325592109,0.0411932348661771,0.0376683502058558,"RECQL4/BLM/RAD54L",3
"GO:0000217","GO:0000217","DNA secondary structure binding","4/333","23/16969",0.000960168036129302,0.0438796792511091,0.0401249168782456,"RECQL4/HMGB3/BLM/XRCC3",4
"GO:0003678","GO:0003678","DNA helicase activity","5/333","42/16969",0.00132405575510196,0.0550084981892358,0.0503014483038733,"RECQL4/MCM4/MCM6/BLM/DNA2",5
"GO:0043142","GO:0043142","single-stranded DNA-dependent ATPase activity","3/333","12/16969",0.00144451172678888,0.0550118215952097,0.0503044873276477,"POLQ/CHTF18/DNA2",3
"GO:0004520","GO:0004520","endodeoxyribonuclease activity","4/333","28/16969",0.00205533982273461,0.072253099922286,0.0660704380263677,"EXO1/FEN1/XRCC3/DNA2",4
"GO:0004003","GO:0004003","ATP-dependent DNA helicase activity","4/333","31/16969",0.00301607702773187,0.0880764487595676,0.080539790757914,"RECQL4/MCM4/MCM6/BLM",4
"GO:0008026","GO:0008026","ATP-dependent helicase activity","5/333","52/16969",0.00344933085665364,0.0880764487595676,0.080539790757914,"RECQL4/MCM4/DDX56/MCM6/BLM",5
