Name,CombinedES1
SAPCD2,2.7935
PYCR1,2.6871
GOLM1,2.6705
TEDC2,2.6285
PRR36,2.5663
RECQL4,2.5539
E2F2,2.5431
TOP2A,2.5382
HMGB3,2.5147
WNT3,2.4976
CENPF,2.4791
UBE2T,2.474
MMP11,2.4468
PCLAF,2.4261
ETV4,2.4228
PAFAH1B3,2.4067
DBNDD1,2.3747
CCNF,2.3199
PARP1,2.2974
EPCAM,2.2932
TMEM184A,2.2726
AURKA,2.2595
CNOT11,2.2416
TROAP,2.2336
CELSR3,2.2193
HJURP,2.2116
CDCA8,2.1958
TIMELESS,2.1956
ATIC,2.1938
ASPM,2.1928
MCM2,2.1887
EEF1A2,2.1862
CDC20,2.1845
STIL,2.1795
TPX2,2.1744
CSTF2,2.1714
DLGAP5,2.1672
BIRC5,2.1633
TK1,2.1618
CDCA5,2.1552
MCM4,2.1533
SRPK1,2.1361
NUP210,2.129
PLPP2,2.1238
SPC24,2.1214
GPT2,2.1021
MSI2,2.1011
PRC1,2.1009
TTK,2.0993
AURKB,2.0972
KIF15,2.0953
NCAPG,2.0917
NEK2,2.066
KIF20A,2.063
TMEM106C,2.0537
KIF4A,2.0507
CCNB2,2.0488
MESP1,2.0486
UBE2C,2.0471
MELK,2.0471
CDT1,2.0457
KIF11,2.044
SLC50A1,2.0406
SBK1,2.0406
MANEAL,2.0337
ALDH18A1,2.0237
SLC39A11,2.0218
L2HGDH,2.0191
EZH2,2.0176
ECT2,2.0131
KRT80,2.0091
STX1A,2.0045
KIF2C,2.0017
METTL7B,1.9992
IDH2,1.9964
EXO1,1.995
FOXM1,1.992
PSMG3,1.9916
ANLN,1.9872
PKMYT1,1.9843
KNTC1,1.9811
KIFC1,1.9761
DDX56,1.967
HOOK1,1.9641
KIF14,1.9629
MCM10,1.961
PPAT,1.9597
CDC45,1.9565
CHAF1B,1.9554
POLQ,1.955
CEP55,1.9475
GFPT1,1.9468
HMMR,1.9463
CKAP2L,1.9462
IPO4,1.9431
GRTP1,1.9393
PAICS,1.9318
C1orf112,1.9263
SMPDL3B,1.9253
MARVELD3,1.9236
GINS2,1.9228
ASF1B,1.9222
CHMP4B,1.9219
MTA3,1.916
DAP3,1.9123
RMI2,1.9122
KRT8,1.9109
CCNB1,1.9085
SALL4,1.9074
ZNF239,1.902
DUS1L,1.9002
SPP1,1.8996
CTHRC1,1.895
SAMD10,1.8948
FUT2,1.8934
NARF,1.8929
MDK,1.8906
WDR62,1.8872
MND1,1.8826
C19orf48,1.8797
ZWINT,1.8775
TFB2M,1.8748
ATAD2,1.8744
CENPM,1.8732
CDCA3,1.8722
PIMREG,1.8721
MRPL12,1.8663
RHPN1-AS1,1.8644
BAIAP2L1,1.8635
CENPL,1.8625
CDCA7,1.8617
SFXN1,1.8596
FAM241B,1.8578
BUB1,1.8544
CCNA2,1.8533
RAB26,1.8529
DNAJC22,1.8514
P3H4,1.8504
BZW2,1.8449
ILF2,1.8337
ZSCAN16,1.8314
REEP6,1.8243
SLC5A6,1.824
PPME1,1.8164
MCM6,1.8076
ORC6,1.806
CYP24A1,1.8018
VGF,1.7981
CPSF6,1.7954
NABP2,1.7927
COASY,1.7922
POC1A,1.7921
ALG8,1.7907
CDC25C,1.7885
ARHGEF16,1.7868
H2BC5,1.786
GYG2,1.7846
PC,1.7836
CNFN,1.7835
SPIRE2,1.7828
TLCD1,1.7822
HROB,1.7822
DPY30,1.781
GORASP2,1.7807
PSAT1,1.7785
HES6,1.7757
CDKN3,1.77
CHTF18,1.7698
CPSF3,1.7694
SLC35B1,1.7681
B3GNTL1,1.7676
BOP1,1.7656
GCNT3,1.7645
PHKA1,1.764
FANCD2,1.7634
KDELR3,1.7618
FEN1,1.7605
HELLS,1.7591
LRRC45,1.7589
PBK,1.757
PDIA4,1.754
WDR46,1.7522
RNFT2,1.7496
ARHGAP39,1.7482
POLR2H,1.7481
SIX4,1.748
CHEK1,1.7468
PODXL2,1.7423
RRM2,1.7416
BLM,1.7351
HMGB3P1,1.735
ARHGEF39,1.7332
PYGO2,1.7325
ARHGEF19,1.7312
TFAP2C,1.7298
RAD54L,1.7297
RAB15,1.7289
BRI3BP,1.7275
DKC1,1.726
AUNIP,1.724
SNRNP25,1.7231
UQCC2,1.7201
TONSL,1.7186
XPR1,1.718
TACC3,1.7164
BCL9,1.7151
CHRNA5,1.7136
ABCB6,1.7127
UBE2O,1.7123
RASAL1,1.7117
CANT1,1.7062
ABCC3,1.7044
ATAD3A,1.7034
STRBP,1.6998
MYO7A,1.6995
HYLS1,1.6994
TFAM,1.6986
TRAP1,1.697
ICA1,1.6964
HS6ST2,1.6949
PGM2L1,1.6933
C1orf35,1.6931
IRAK1,1.6929
CST1,1.6927
C12orf45,1.6921
E2F3,1.6895
AVL9,1.6866
ANKRD22,1.6862
LBHD1,1.6807
B4GALT3,1.6806
CENPX,1.6798
CENPA,1.6783
SGPL1,1.6779
MKI67,1.6736
MRGBP,1.6735
BARD1,1.671
GOLGA7B,1.6676
XRCC3,1.6637
LAPTM4B,1.6636
GPRIN1,1.6626
SETDB1,1.6587
CABLES2,1.6586
DNAJC12,1.6571
SNRPG,1.6539
POLE2,1.6537
MTFP1,1.6535
MCM8,1.6512
SLC52A2,1.6478
LRRC20,1.647
SMUG1,1.6419
SGPP2,1.6384
NUP155,1.6371
LINC00467,1.6334
P4HB,1.6325
F12,1.632
RALGPS2,1.6259
MARCKSL1,1.6228
SLC41A2,1.6226
CCT3,1.6207
COIL,1.6206
FRMD5,1.6204
FOXRED2,1.6197
ACP6,1.618
UBFD1,1.6171
NDC80,1.6162
PTPRH,1.6129
UGGT1,1.6127
SLC25A10,1.6119
MORC2,1.6094
HCN3,1.6086
WDR34,1.6037
ORC1,1.6015
642477,1.6014
NDUFS8,1.5992
GTF3C2,1.5934
CKS1B,1.5927
NUDT1,1.5922
KCNMB3,1.5904
DHTKD1,1.5879
ZMYND19,1.5872
PLK1,1.5859
EME1,1.5854
NVL,1.5843
NSUN5,1.584
FANCI,1.5818
HDGF,1.5817
PLK4,1.5814
C4orf48,1.581
KDELR2,1.5794
DEPDC1B,1.5767
SKIV2L,1.5762
HKDC1,1.5726
CBX8,1.5726
MLEC,1.5695
GGCT,1.5684
CCNE2,1.5651
SETD1A,1.5642
DAP,1.564
DENR,1.5637
CCDC34,1.5627
UBQLN4,1.5625
DNA2,1.5622
UNC5CL,1.5619
RHPN1,1.5617
DNASE1,1.5595
SAC3D1,1.5585
ENO1,1.5571
NAXE,1.5567
ITGA11,1.5559
TMEM45B,1.5556
DONSON,1.5534
KISS1R,1.5492
SPTBN2,1.5488
GLB1L2,1.5473
HNF4G,1.5468
MB,1.5463
SLC25A39,1.5441
SRD5A1,1.5414
LAGE3,1.5401
NOL11,1.5398
BCL2L15,1.5396
SLC35F2,1.5393
SYNJ2,1.5391
SRRM3,1.5381
PTGES,1.5373
SUZ12,1.5359
OIP5,1.5352
MTX1,1.5338
BUD23,1.5337
CCNE1,1.5334
HYOU1,1.5328
FLAD1,1.5293
YTHDF1,1.5278
PYCR3,1.5261
HEXIM2,1.5259
RNASEH2A,1.5244
SELENOI,1.5241
NMU,1.5233
RUSC1,1.5228
NIPSNAP1,1.5223
RHPN2,1.522
CLDN3,1.5217
ST14,1.5208
NGEF,1.5208
GAD1,1.5198
TTI1,1.5192
NCAPD3,1.5184
STIP1,1.5174
TMEM62,1.5169
CRABP2,1.5163
TDRKH,1.5152
CLPTM1L,1.5137
MNX1,1.5131
XPO5,1.5122
SLC29A2,1.5121
PELP1,1.512
MARCHF6,1.5118
SRPRB,1.5115
PARPBP,1.5112
CENPE,1.5111
COG2,1.511
JTB,1.5109
HID1,1.5078
TICRR,1.5066
DCAF12,1.5055
BANP,1.5049
EPRS1,1.5041
RACGAP1,1.5036
SURF6,1.5034
STK32A,1.5034
NAT10,1.5026
MAD2L1,1.5025
CDCA2,1.5011
CREB3L4,1.5011
GTSE1,1.5008
NR2F6,1.4999
SCAMP3,1.4997
WDR12,1.498
COPG1,1.4977
MCM3,1.4964
SNORC,1.4963
WFDC3,1.494
C1QTNF6,1.4925
CYBC1,1.4925
MXD3,1.4923
TACO1,1.492
TRAF2,1.4915
SHMT2,1.4886
SKA3,1.488
LONP1,1.4874
BPNT1,1.4855
SLC12A8,1.4852
BYSL,1.4835
MRPS16,1.4835
GTF2IRD1,1.4829
GALE,1.4827
CAD,1.482
KRTCAP2,1.4807
SCAMP5,1.48
UHMK1,1.4774
SNAP47,1.476
H1-0,1.4759
TSEN54,1.4757
HLTF,1.4753
CCDC137,1.4747
SPR,1.4726
SPC25,1.4725
UTP25,1.4719
TBRG4,1.4713
CCDC58,1.47
TRIM46,1.467
EFTUD2,1.4668
VWA1,1.4657
TTC13,1.4657
KIF20B,1.4653
SLC25A13,1.4633
CDC25A,1.4628
PTTG1,1.4626
SPDEF,1.4618
RAD51AP1,1.4609
DARS2,1.4599
MDH2,1.4587
CBX5,1.4585
DECR2,1.4578
PPP2R5E,1.4569
SGO2,1.4563
DGCR5,1.4561
PSMD4,1.4559
DEPDC1,1.4558
MRPL3,1.4555
PPP1R35,1.4555
NLN,1.4545
C8orf76,1.4539
GGCX,1.4519
CENPO,1.4483
ADPRHL1,1.4483
KIF23,1.4467
PUS7,1.4456
CDK1,1.445
PPIL1,1.4442
PREB,1.4425
RGS17,1.4392
ZMIZ2,1.4374
LGR4,1.4368
MRTO4,1.4358
PTTG3P,1.4348
NOXA1,1.4325
RPP40,1.4312
NDUFAF6,1.4306
TMED3,1.4305
DLG3,1.4297
LMNB1,1.4288
BRPF3,1.4278
WDR74,1.4266
LARGE2,1.426
MMACHC,1.4254
GPR37,1.4253
AIMP2,1.4234
SLC38A10,1.4226
VMP1,1.4224
DNTTIP1,1.4223
PSMC1,1.4222
NCAPG2,1.4208
TWNK,1.4207
CENPK,1.4207
C17orf58,1.4202
ZSWIM1,1.4191
STOML2,1.4188
SLC29A4,1.4157
ZSCAN2,1.4156
POLR2D,1.4153
TUT1,1.4146
CCDC86,1.4126
IPO9,1.4109
NEIL3,1.4099
TMUB1,1.4098
COA7,1.4074
NT5C3B,1.4059
LMNB2,1.4057
JMJD4,1.4055
PUS1,1.4038
LYPD1,1.4037
LIMK1,1.4036
MCM3AP-AS1,1.4031
ANKRD39,1.4029
DHRS11,1.4021
PLEKHA6,1.4019
TRIP13,1.4011
CCDC167,1.401
METTL1,1.3989
PSMB3,1.3972
CYB561,1.3969
PRXL2A,1.3942
GCAT,1.3936
INTS7,1.3912
CNTD2,1.391
MTHFD1,1.3909
CENPN,1.3858
ATAD5,1.3832
TMEM54,1.3816
CISD2,1.381
CBX3,1.3805
ZNF341,1.3804
RHNO1,1.3803
RPL39L,1.3797
FOXA3,1.3785
SDF2L1,1.378
NAA40,1.3753
EARS2,1.3749
APOOL,1.3748
PCCB,1.3716
CEP350,1.3713
GPATCH4,1.371
NSUN2,1.3699
SLC22A18AS,1.3696
MRPS24,1.3689
PDCD2L,1.3683
RAD51,1.3682
CEP72,1.3681
GMPPA,1.3677
MCM7,1.3673
ADAM8,1.3667
SRM,1.3631
CHD1L,1.3628
NOP2,1.3625
MIS18A,1.3625
ZIC2,1.3624
PTRH2,1.3595
NUF2,1.357
DDX23,1.3538
NOS1AP,1.3536
WDHD1,1.3536
RBM28,1.3532
