"","logFC","logCPM","LR","PValue","FDR","change"
"PYCR1|5831",3.81853010411096,7.19820149577684,511.182571287103,3.5068855494171e-113,7.6259972628228e-111,"Up"
"C16orf59|80178",3.90000089788013,2.59118295828268,391.280282857407,4.3567163975814e-87,4.4176614752779e-85,"Up"
"ETV4|2118",4.10919208580052,5.59863752927014,354.934162328013,3.57007221264859e-79,3.05384992256372e-77,"Up"
"ALDH18A1|5832",1.67706100634438,6.81166398016355,347.325217236143,1.62038325085243e-77,1.32336186853554e-75,"Up"
"IQGAP3|128239",3.97676094945913,4.86009481887989,331.061405952908,5.64433566204597e-74,4.11576567628599e-72,"Up"
"C9orf140|89958",3.885677005242,4.38758593968593,324.556957936348,1.47339330120592e-72,1.02676740129211e-70,"Up"
"GOLM1|51280",2.71431682521233,8.27259476577731,322.828956060837,3.50511036806236e-72,2.39635367549839e-70,"Up"
"UBE2T|29089",3.57058696889229,4.20431463401059,319.791939892415,1.60776023048492e-71,1.07875332342091e-69,"Up"
"TOP2A|7153",4.09053257480656,6.9381252399765,317.519531732562,5.02582552686111e-71,3.29858636124786e-69,"Up"
"FAM83A|84985",6.92082927115192,6.90486204033043,315.594210974206,1.32007313150249e-70,8.47900354109909e-69,"Up"
"TMEM177|80775",1.66509307971429,3.50992839459467,313.074371626569,4.67201259754881e-70,2.92795678379023e-68,"Up"
"ADM2|79924",3.54999230974489,4.13479913786207,312.460110276885,6.35788906508594e-70,3.95701861157711e-68,"Up"
"SRPK1|6732",1.6143473091962,6.50076091928136,310.908728104286,1.38441186068422e-69,8.41321537827929e-68,"Up"
"EFNA4|1945",2.26721082450471,4.406241935978,310.267130309535,1.90999500641027e-69,1.15295986189629e-67,"Up"
"TMEM184A|202915",3.26119569127694,5.68268230425084,303.323083621651,6.22008657874731e-68,3.63321497280939e-66,"Up"
"KIF4A|24137",4.37323820882729,4.30547394952798,302.432058890307,9.72556094399591e-68,5.66247256381233e-66,"Up"
"KIF20A|10112",3.5460786628535,4.285075283346,300.780158333189,2.22741874503336e-67,1.27223673826288e-65,"Up"
"UHRF1|29128",3.63594819085839,3.97370071409999,299.863799323346,3.52732058080303e-67,2.00834729220549e-65,"Up"
"PLEKHN1|84069",3.72905189100959,2.71757651863379,299.797648538152,3.64633853403286e-67,2.06958377989809e-65,"Up"
"E2F8|79733",3.64215097172789,2.93615393917154,297.088441784298,1.41942352120285e-66,7.88282311821238e-65,"Up"
"PPP1R14B|26472",2.1754500380677,6.65706854949486,296.718159949943,1.70917564801354e-66,9.43391781987656e-65,"Up"
"SFXN1|94081",1.6608605011994,5.40129184708344,295.405351360568,3.30229560417618e-66,1.81164539087465e-64,"Up"
"B3GNT3|10331",4.45242227995188,5.53601570700666,294.264749761592,5.85233113548946e-66,3.16253666660028e-64,"Up"
"TUBB3|10381",4.37921330586772,6.76732827248886,294.057716901743,6.49287906107404e-66,3.48779685039659e-64,"Up"
"CDC25C|995",4.32305577436128,2.07261784659777,293.894284977856,7.04767741370557e-66,3.77458544925732e-64,"Up"
"SPAG5|10615",3.41714871160392,5.07312632177833,291.81857491204,1.99668474318637e-65,1.05067530407495e-63,"Up"
"RCC1|1104",2.15844843401792,5.76256416636907,290.987815023089,3.02915574915104e-65,1.58015121723778e-63,"Up"
"RECQL4|9401",3.5160581520406,4.42852992506172,288.813711842505,9.01653271499243e-65,4.62327837991188e-63,"Up"
"PAICS|10606",1.94347317090291,7.02559025609154,287.862781442259,1.45292346412709e-64,7.40785751526267e-63,"Up"
"BUB1B|701",3.85697341699218,3.97038845940565,287.55353129103,1.69678714640352e-64,8.62684822688372e-63,"Up"
"NUF2|83540",4.26792201610547,3.63976686236309,287.321884673455,1.9059108916624e-64,9.66286114708278e-63,"Up"
"DLGAP5|9787",4.19887591783426,4.00752525180736,286.41630973677,3.00210912020492e-64,1.51354937180387e-62,"Up"
"KIF2C|11004",4.05190534354393,4.53747964269336,285.455675615682,4.8612733065083e-64,2.43725338636578e-62,"Up"
"NEK2|4751",3.95469911064228,3.97805058417203,281.623266342526,3.32553762559933e-63,1.6091857534703e-61,"Up"
"CDC6|990",3.6927668486543,4.43621096497277,281.596288073613,3.37086050060005e-63,1.62675564639921e-61,"Up"
"CDC20|991",4.01445822351045,5.10224458812536,281.553820335027,3.44346009407175e-63,1.65736029967736e-61,"Up"
"EZH2|2146",2.80130324899787,4.19334463088775,279.88145671247,7.96945813438933e-63,3.78528289125245e-61,"Up"
"MSTO1|55154",1.63739624253354,5.41461349177444,279.485157772876,9.72275944997429e-63,4.60593399770567e-61,"Up"
"HJURP|55355",4.06935659562179,3.98756703056128,279.175640200755,1.13563651797785e-62,5.33778737317247e-61,"Up"
"STIL|6491",2.70044063146287,3.6507216419383,277.940980775383,2.11007511237698e-62,9.8410195615742e-61,"Up"
"ASPM|259266",3.86125639722253,4.39386024707594,277.752304093946,2.31960988502326e-62,1.07903708285528e-60,"Up"
"RAD54L|8438",3.83817857034193,2.89907249883781,277.274320580421,2.94835051999308e-62,1.36099177839783e-60,"Up"
"PLK1|5347",3.53789702717929,4.68313694930499,277.024864151991,3.34150375334824e-62,1.52685572770082e-60,"Up"
"CDCA8|55143",3.24742561434791,4.33045636714671,276.88309401687,3.58787508273584e-62,1.63117272968008e-60,"Up"
"ORC6L|23594",3.32964554752524,2.89116987575956,276.13160484345,5.23126935663123e-62,2.34290770763864e-60,"Up"
"SPAG4|6676",3.24301551964906,3.44773661747684,275.365706211412,7.68278521635411e-62,3.41543326034422e-60,"Up"
"ERCC6L|54821",3.29696965116914,2.28251820448264,273.231687084741,2.24177670841659e-61,9.77338835995436e-60,"Up"
