"","beta","HR (95% CI)","z","wald.test","P-value"
"C1QTNF6|114904","0.3386","1.403(1.1943-1.6481)","4.1216","16.99","0"
"GYLTL1B|120071","-0.2533","0.7762(0.692-0.8706)","-4.3258","18.71","0"
"GNPNAT1|64841","0.5521","1.7369(1.3746-2.1948)","4.6255","21.4","0"
"ARNTL2|56938","0.2712","1.3116(1.1633-1.4787)","4.4308","19.63","0"
"TNS4|84951","0.1576","1.1707(1.0898-1.2576)","4.3132","18.6","0"
"IGF2BP1|10642","0.1106","1.1169(1.0613-1.1754)","4.2421","18","0"
"BSPRY|54836","-0.4202","0.6569(0.5405-0.7985)","-4.2205","17.81","0"
"RGS20|8601","0.1741","1.1902(1.0966-1.2917)","4.1688","17.38","0"
"KRT6A|3853","0.1217","1.1294(1.077-1.1845)","5.0128","25.13","0"
"KRT6B|3854","0.1316","1.1407(1.0787-1.2063)","4.6141","21.29","0"
"NTSR1|4923","0.1812","1.1987(1.1188-1.2843)","5.1487","26.51","0"
"PPP1R3G|648791","0.3574","1.4295(1.2388-1.6497)","4.8895","23.91","0"
"KRT6C|286887","0.1584","1.1716(1.105-1.2423)","5.2995","28.08","0"
"PCDH7|5099","0.2128","1.2372(1.1195-1.3673)","4.1722","17.41","0"
"KRT14|3861","0.1486","1.1602(1.0901-1.2348)","4.673","21.84","0"
"RHCG|51458","0.1584","1.1716(1.0887-1.2608)","4.2309","17.9","0"
"DSG3|1830","0.166","1.1805(1.0959-1.2717)","4.3729","19.12","0"
"IGFBP1|3484","0.1642","1.1785(1.1041-1.2578)","4.937","24.37","0"
"SH2D5|400745","0.1904","1.2097(1.106-1.3232)","4.1612","17.32","0"
"DKK1|22943","0.1479","1.1594(1.0959-1.2266)","5.146","26.48","0"
"GPR78|27201","0.2571","1.2932(1.1477-1.4573)","4.2204","17.81","0"
"C20orf141|128653","0.2221","1.2487(1.1223-1.3894)","4.078","16.63","0"
"FSCN1|6624","0.2795","1.3224(1.1593-1.5086)","4.1596","17.3","0"
"KCNG1|3755","0.1867","1.2053(1.1018-1.3184)","4.0786","16.63","0"
"VAX1|11023","0.2001","1.2215(1.1123-1.3415)","4.1877","17.54","0"
"LINGO2|158038","0.2753","1.3169(1.1819-1.4673)","4.9881","24.88","0"
"CRCT1|54544","0.3755","1.4557(1.2153-1.7438)","4.0761","16.61","0"
"TMPRSS11F|389208","0.5296","1.6982(1.3166-2.1905)","4.0779","16.63","0"
"LCE3E|353145","0.7082","2.0303(1.5738-2.6191)","5.4504","29.71","0"
"LCE3D|84648","0.4795","1.6153(1.3213-1.9746)","4.6789","21.89","0"
"ANLN|54443","0.2714","1.3118(1.15-1.4965)","4.0396","16.32","0.0001"
"PLEK2|26499","0.3087","1.3617(1.1618-1.596)","3.8116","14.53","0.0001"
"ERO1L|30001","0.3531","1.4234(1.1969-1.6928)","3.993","15.94","0.0001"
"ARHGAP11A|9824","0.3353","1.3984(1.1835-1.6524)","3.9388","15.51","0.0001"
"LDHA|3939","0.4832","1.6213(1.267-2.0746)","3.841","14.75","0.0001"
"MFI2|4241","0.2103","1.2341(1.1077-1.3749)","3.815","14.55","0.0001"
"RHOV|171177","0.1896","1.2087(1.1025-1.3253)","4.037","16.3","0.0001"
"KRT16|3868","0.1329","1.1421(1.0708-1.2182)","4.0388","16.31","0.0001"
"ANO9|338440","-0.303","0.7386(0.6358-0.858)","-3.9623","15.7","0.0001"
"GJB3|2707","0.1505","1.1624(1.0767-1.2549)","3.8528","14.84","0.0001"
"C20orf197|284756","-0.1987","0.8198(0.7442-0.9031)","-4.0256","16.21","0.0001"
"LOXL2|4017","0.2499","1.2839(1.1314-1.4571)","3.8722","14.99","0.0001"
"FAM83B|222584","0.1428","1.1535(1.0736-1.2393)","3.9006","15.21","0.0001"
"CREG2|200407","0.1742","1.1903(1.0911-1.2986)","3.9239","15.4","0.0001"
"TRPA1|8989","0.1873","1.206(1.0957-1.3275)","3.828","14.65","0.0001"
"FETUB|26998","0.2935","1.3412(1.1622-1.5477)","4.0163","16.13","0.0001"
"GDF15|9518","-0.2164","0.8054(0.7238-0.8962)","-3.9703","15.76","0.0001"
"KCNF1|3754","0.1813","1.1987(1.0924-1.3155)","3.8233","14.62","0.0001"
"RAET1L|154064","0.2579","1.2942(1.1327-1.4787)","3.7921","14.38","0.0001"
"RTL1|388015","0.2037","1.2259(1.1045-1.3606)","3.8275","14.65","0.0001"
"BEST3|144453","0.2052","1.2278(1.1074-1.3611)","3.8994","15.21","0.0001"
"DLGAP5|9787","0.25","1.284(1.1241-1.4667)","3.6845","13.58","0.0002"
"HMMR|3161","0.2703","1.3103(1.134-1.5141)","3.665","13.43","0.0002"
"ECT2|1894","0.3401","1.4051(1.1779-1.6762)","3.7792","14.28","0.0002"
